,geoid,2010_population,2010_household_income,2010_home_value,2010_nonh_caucasians,2010_nonh_blacks,2010_amerinds_alskns,2010_nonh_asians,2010_nonh_hawaii_pacific,2010_nonh_others,2010_nonh_multi,2010_hisp_latin,2010_construction,2010_retail,2010_information,2010_finance,2010_edu_health_social,2010_arts_recreation_accom,2010_public_admin,2010_armed_forces,2010_bachelors,2010_male<25_bachelors,2010_female<25_bachelors,2018_population,2018_household_income,2018_home_value,2018_nonh_caucasians,2018_nonh_blacks,2018_amerinds_alskns,2018_nonh_asians,2018_nonh_hawaii_pacific,2018_nonh_others,2018_nonh_multi,2018_hisp_latin,2018_construction,2018_retail,2018_information,2018_finance,2018_edu_health_social,2018_arts_recreation_accom,2018_public_admin,2018_armed_forces,2018_bachelors,2018_male<25_bachelors,2018_female<25_bachelors,2018_>25bachelors,2010_>25bachelors,2018_percent_>25bachelors,2010_percent_>25bachelors,change_percent_>25bachelors,percent_change_home_value,percent_change_construction,percent_change_retail,percent_change_information,percent_change_finance,percent_change_eduhealthsocial,percent_change_artsrecaccom,percent_change_publicadmin,percent_change_armedforces,gentrify_elig,test_two,gentrified
geoid,1.0,0.0035251801956647727,0.12415887838170513,0.475390785688401,0.07732993675026359,-0.27892488607000665,-0.02817068275144783,0.12955601494353639,0.06147082057520008,-0.06926756237437036,-0.10146989234008044,-0.06666350150903491,-0.09152084173528038,0.02201011124490823,0.2238463874085388,0.20537067078344337,0.05932056248751048,0.244070168895941,0.04374223798410383,-0.10687696176535064,0.24813008876497433,0.2880983605926415,0.21141739439386342,-0.016771347666287236,0.2034487674659365,0.5021449963820492,0.08868926786182937,-0.31636952963731096,-0.15804542341515743,0.08939223284207375,0.03036365140209457,0.04785202792674906,-0.07655292283182188,-0.08894727464808581,-0.0873895790467811,0.09490436420775215,0.3325380930043941,0.2111812538885336,0.017803975488865236,0.21459035218021733,0.00951498885621965,-0.05872331853041762,0.22425425308058597,0.28710799822961003,0.20000110350589603,0.15911052614618465,0.19144678962207615,0.22637241441315614,0.24783456515331612,-0.056759668239896324,0.3487787187492548,0.021427307543743185,0.010480764866540497,0.040117973712442245,-0.029020015968290357,-0.09032355915666665,-0.03700414240751041,-0.040092964258334356,0.03834499844976552,-0.3394606810062043,0.09454404693875965,-0.07638262813586348
2010_population,0.0035251801956647727,1.0,0.05215974406725975,-0.04688637268039939,0.46697636270051834,0.18117011249933954,0.25812207675326454,0.4238265413500786,0.21235271991187712,0.21746558246885966,0.49450454961008045,0.4964349768237361,0.5294973562423715,0.7157881322288299,0.36655310348998915,0.5123081742957893,0.6580123036394397,0.4711149265679757,0.48786817472777394,0.13608251771477745,0.5213106806495317,0.20744624507613477,0.14778882862619772,0.9235683601344599,-0.01032931055967045,-0.09986374845370753,0.4280096337446594,0.19938571093073962,0.2092610319908405,0.4136828669539335,0.23477571854707457,0.14253014720640286,0.5634184586408244,0.4846929176062095,0.5216838798989679,0.6653965697344436,0.29293664713936374,0.45496624249906625,0.6859789188904837,0.5351587980189474,0.5115330917009466,0.046666077992428466,0.5268275382486106,0.20193912593854346,0.198658243612926,0.5459319972043638,0.5334182280924584,-0.14567606750944642,-0.13558803271552683,-0.006377207565347216,-0.18060272689257095,-0.011822373057345912,-0.1821320118124366,-0.05996293211474267,-0.07926477868616491,-0.08889870451604814,-0.08333779282194607,-0.02818827582059227,0.10610768473632935,-0.05601012434876009,-0.12014633169517185,-0.11386978405001984
2010_household_income,0.12415887838170513,0.05215974406725975,1.0,0.6661892494233638,0.4943811354506405,-0.4327145936146426,-0.1668795163373586,0.0575511098597672,-0.14275047245146197,-0.021431311381994837,0.13427363738271775,-0.4022556242246687,-0.21466962816992374,-0.10132271562412115,0.23777227589380384,0.37485949934583124,0.09997596828611106,-0.29637500741189554,0.08376212701941702,0.001063738821438174,0.486489237853407,0.02612869464832391,0.02686394147721799,0.04747266003836101,0.895126074487197,0.6420642562064287,0.4522054180302305,-0.42581147612685055,-0.211816447318549,0.11456048368661963,-0.12201683023522479,-0.012051398261724603,0.10543836373968102,-0.4183086606585656,-0.24486317655303336,-0.15796013746060486,0.1921577423120879,0.36470958400643755,0.02746788054674939,-0.3388088671253575,0.0006246676571607789,-0.03134273224028583,0.391715627589115,-0.08139572200980047,0.004648489054517509,0.49126015817888535,0.5516111504768775,0.5732590996169656,0.6254737151812287,-0.1399029561430939,0.3148039298850411,-0.03435020378209773,-0.034955825015985514,-0.01105033752672031,-0.1040988902509907,-0.13628989643107525,0.08623577495434558,-0.1081492295028164,-0.017460293845531966,-0.6024331038744785,-0.007385122955223247,-0.1550020077227667
2010_home_value,0.475390785688401,-0.04688637268039939,0.6661892494233638,1.0,0.4682426374723412,-0.4763489749449419,-0.1941911028539618,0.033160697537990315,-0.1482409018311192,-0.06513451044602797,0.033191531396108316,-0.4770927990521606,-0.3325922903106012,-0.1771317211465121,0.3199707040770557,0.35612970241420283,0.11345187207201168,-0.0948743539027581,-0.007738441633952612,-0.03242080469000499,0.5428334616650866,0.2519174372478365,0.23153530941705483,-0.07478956771268533,0.7377293899264686,0.8954447028381763,0.4635800550778785,-0.5026262237140039,-0.2898619891205713,0.031355994398418525,-0.16342776349157453,0.004359811945723382,-0.004439563098630219,-0.5090306895386834,-0.37279773204421807,-0.18779907259450343,0.3698891806255651,0.36255563463280926,0.0006886016683387323,-0.19064989653619424,-0.08663900671676612,-0.008089697092062163,0.45517261460158814,0.16297290446559787,0.17945375817139528,0.47446470957745285,0.5383956887157986,0.658431113141745,0.6699905383442349,-0.07377982047109216,0.37156796305945256,-0.03242207810333811,-0.017206436384215637,0.012870456690589378,-0.07507943104187417,-0.1727006171191928,-0.007668345296493047,-0.0831023808443532,0.05119254743058049,-0.6804778968571201,0.0603837405152198,-0.1599918810210585
2010_nonh_caucasians,0.07732993675026359,0.46697636270051834,0.4943811354506405,0.4682426374723412,1.0,-0.35481335935768626,-0.056837775085769836,-0.1559570415908256,-0.14939014742295564,0.06818572396346562,0.346704107942451,-0.22172610520163588,0.11365706910271038,0.2673765220088499,0.4662481923559756,0.6106463874486086,0.4643553969209348,0.05837295080938362,0.29910235737820445,0.04835660124931656,0.7097592694198066,0.20210340341116903,0.15792826843136404,0.41930670455760194,0.48781476327174267,0.40230236135137754,0.9590944629338689,-0.3244834462463334,-0.0924191355650893,-0.12038357698472299,-0.13567336457917628,0.11558755650717731,0.3784367388025125,-0.21231834886146783,0.09002124874358447,0.22576384658576218,0.3807355722446254,0.5912081459879296,0.41987079919680437,-0.007486966557110302,0.2870929226939297,0.0020812597073701653,0.6578542622937653,0.14797525205993373,0.15698268672424462,0.722710476526611,0.7510416639564601,0.4950520753875736,0.4857274523176245,-0.02313130468724684,0.1304180605037786,-0.05177885309104427,-0.11398491990190454,-0.03654672167383896,-0.09317406245070962,-0.15333220846390663,-0.0713263958586299,-0.06920784183379447,0.08541254154463415,-0.42422810597422456,-0.020459599392933677,-0.1200846205837807
2010_nonh_blacks,-0.27892488607000665,0.18117011249933954,-0.4327145936146426,-0.4763489749449419,-0.35481335935768626,1.0,0.20067007772231454,-0.09529463511228985,0.12219894538805309,0.13984423042915212,0.0799938989751413,0.31325562811134156,0.1629893585636703,0.10078882708872546,-0.10816178750374394,-0.17269635297715102,0.06833170792504238,0.08528971647508014,0.08281529606912123,0.09053970972971472,-0.29386326153978587,-0.11685059005206558,-0.08655025495006571,0.16170491917558832,-0.4553953487143166,-0.43895375656687885,-0.3264311135383252,0.8944015704251489,0.1626891795679066,-0.10173608113813856,0.1913000199912493,0.040058905147572,0.19192603805844,0.3689349678129216,0.25140827916148856,0.14279134249001066,-0.13046590552778017,-0.18509268435179205,0.1260595031507842,0.18264253081921672,0.11235533913869318,0.041397994020396435,-0.25715756132116613,-0.05559666570185441,-0.04729793092499915,-0.28457258877678315,-0.30037890800256867,-0.46768869929588913,-0.46034937669048503,0.02449145108720785,-0.2622706797652152,0.04342203647272932,0.06268612933913209,-0.04016054527929246,0.0766923087824472,0.09718202573820485,-0.00028169151789133294,0.05422122015801792,-0.021344120546097932,0.5115617762434251,-0.04744279624289835,0.06555519730344647
2010_amerinds_alskns,-0.02817068275144783,0.25812207675326454,-0.1668795163373586,-0.1941911028539618,-0.056837775085769836,0.20067007772231454,1.0,0.02286713364724376,0.1245435283501465,0.061645636078279456,0.09153617395326188,0.3559880199012459,0.2568100382767325,0.18723728090350206,0.040209645442675135,0.006147874761491703,0.10118982446669479,0.18436975844170583,0.06031067889340387,0.058691011870753484,-0.07481613225602435,-0.02648840722188333,-0.005994057129125113,0.2244498360740265,-0.17043650639337007,-0.1878067013017656,-0.06561492811328325,0.2028600062533497,0.16340348730966514,0.02279786375569271,0.13665323715867286,0.019420887428138654,0.12962462075768505,0.34039652096873435,0.23859120869746892,0.19379839029194507,-0.007795810144730919,-0.016614893249450615,0.07851711755471542,0.2147289616957837,0.06303420110069362,0.017594050136699423,-0.04908668651060602,0.007125932789211762,-0.009859339832636775,-0.05970969940936067,-0.07894226166972647,-0.2624272993686646,-0.26277588179556893,0.02176114610286757,-0.13998289232913436,-0.010910788104810115,0.005795203448948548,-0.020019534402384548,-0.017139970660427703,-0.039238986118840864,-0.024924145033732557,0.041772669893789076,0.04509278062567501,0.16275593761925558,-0.011078353937696886,-0.02680943913180863
2010_nonh_asians,0.12955601494353639,0.4238265413500786,0.0575511098597672,0.033160697537990315,-0.1559570415908256,-0.09529463511228985,0.02286713364724376,1.0,0.07596656728281564,0.055913717508290814,0.1934600160421791,-0.03871599062348956,-0.021344551191205645,0.32079218040269447,0.1525840056466581,0.22302905745546903,0.29324571687466533,0.21455742972636693,0.2850059904911963,0.07545170929174441,0.3535840448720052,0.27546115626478623,0.1905824690617281,0.40745531003357915,0.018433955737889925,0.000948883770516037,-0.17867746972661638,-0.0772788198905354,0.013302281254167315,0.912296495282189,0.08812411970848681,-0.0032896041871671284,0.1758001214621872,-0.03823197453738986,-0.06379186762731492,0.2783746793170981,0.16230997150570886,0.16871095650024592,0.3028609316016506,0.2778915912620944,0.2604557616282267,0.00955415531352694,0.3605610639358712,0.25799339426082013,0.2299454715623314,0.3275427390102491,0.31838385037199757,-0.009238993589512506,0.004692736693838689,-0.0242656465505007,-0.0015493937835558006,0.06127369236751962,-0.1066116593866484,-0.014200753966586257,-0.08209618023401996,-0.0458052112929099,0.017195436350861067,-0.0246312567752962,0.026482120215116207,-0.16911539070300172,-0.021328924502779324,-0.01021159419559271
2010_nonh_hawaii_pacific,0.06147082057520008,0.21235271991187712,-0.14275047245146197,-0.1482409018311192,-0.14939014742295564,0.12219894538805309,0.1245435283501465,0.07596656728281564,1.0,0.06829534642926875,0.026363182764442845,0.33805545640312823,0.1857517573906854,0.22131287194432697,-0.06154429642725606,-0.04620858202299611,0.12297171658753744,0.1393540238645402,0.04769320858907866,0.02842677626515342,-0.10092438823524401,-0.03992067906150997,0.001947754396530506,0.1895048294917284,-0.1598772176349536,-0.15239936979404656,-0.16185253047475007,0.10585974076911407,0.16166695476415424,0.10160116266099598,0.46038123611153847,-0.03457100142858909,0.04083195527178243,0.3447303980044812,0.17588341657279266,0.14072564566482235,-0.018140108383751363,-0.04317794395756737,0.09047202019347314,0.22499968021984543,0.006308877713610863,0.053318991036672765,-0.0753259162568066,-0.016207158934031223,-0.014845913707833683,-0.08328381254899536,-0.10645409815312418,-0.24896607556743927,-0.24713898137624507,0.01677130957192725,-0.1150159451577187,-0.0017783880640012278,-0.07720462722580093,0.021073515896978402,0.019983691917258354,-0.04480843898240634,-0.00868252277845457,-0.033333606269069525,0.1187901344145333,0.12059404885834686,-0.06807377522894892,-0.03367628744980896
2010_nonh_others,-0.06926756237437036,0.21746558246885966,-0.021431311381994837,-0.06513451044602797,0.06818572396346562,0.13984423042915212,0.061645636078279456,0.055913717508290814,0.06829534642926875,1.0,0.13825456102481254,0.09395130605586334,0.08669176058899417,0.15955811351911856,0.09285634175336313,0.09483928705203559,0.18555602351193332,0.11807676360811864,0.12450530056808919,0.0006171430961038413,0.11388270887909797,0.05129977417723423,0.05044991509892715,0.19692670862544187,-0.024236992777341593,-0.06545229446608052,0.07692894095559186,0.13554575847963146,0.10805218467860972,0.06507921253492961,0.05135526184888588,0.03635357519979644,0.1873106826890729,0.09529253284917841,0.07741300944974801,0.16121916763659092,0.05050680321662859,0.07171457387034515,0.20757039150998516,0.13822606783455046,0.13825952768291971,-0.015243131033502156,0.12552600463871993,0.05990931758890446,0.021993206273051638,0.12890731250385826,0.11315319899024948,-0.020775793804729607,-0.01781801274594517,-0.0036364593516746884,-0.05273989415281506,-0.004644281202656238,-0.03854117781589156,-0.02964966799728355,-0.03711586648614988,0.0005700667180653492,-0.02135412221298181,0.011252141734296174,-0.045830397628624134,0.07330264281246465,-0.04152302826191734,-0.00868682826317484
