geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,B08528_010E,B08126_003E,B08126_006E,B08126_008E,B08126_009E,B08126_011E,B08126_012E,B08126_014E,B08126_015E,B06009_005E,B15001_017E,B15001_050E,state,county,tract
34003001000,2013,"Census Tract 10, Bergen County, New Jersey",6595.0,131441.0,679900.0,5402.0,67.0,0.0,779.0,0.0,0.0,8.0,339.0,,138.0,187.0,104.0,574.0,520.0,97.0,73.0,0.0,1738.0,60.0,34.0,34,003,001000
34003002100,2013,"Census Tract 21, Bergen County, New Jersey",1861.0,144063.0,1000001.0,1164.0,48.0,4.0,474.0,0.0,0.0,24.0,147.0,,28.0,53.0,19.0,157.0,169.0,70.0,12.0,0.0,529.0,54.0,22.0,34,003,002100
34003002200,2013,"Census Tract 22, Bergen County, New Jersey",5176.0,85306.0,483600.0,3484.0,55.0,0.0,1137.0,0.0,60.0,25.0,415.0,,180.0,357.0,96.0,142.0,443.0,235.0,59.0,0.0,917.0,63.0,45.0,34,003,002200
34003002300,2013,"Census Tract 23, Bergen County, New Jersey",5756.0,92357.0,652300.0,3438.0,126.0,0.0,1794.0,0.0,0.0,22.0,376.0,,120.0,313.0,100.0,175.0,558.0,170.0,54.0,0.0,1392.0,0.0,10.0,34,003,002300
34003003100,2013,"Census Tract 31, Bergen County, New Jersey",5051.0,84202.0,330800.0,2020.0,451.0,0.0,1242.0,0.0,0.0,20.0,1318.0,,182.0,298.0,81.0,227.0,781.0,210.0,59.0,0.0,1030.0,95.0,58.0,34,003,003100
34003003200,2013,"Census Tract 32, Bergen County, New Jersey",4524.0,62250.0,320500.0,1511.0,83.0,0.0,1386.0,0.0,0.0,98.0,1446.0,,207.0,228.0,34.0,176.0,617.0,169.0,43.0,0.0,998.0,148.0,53.0,34,003,003200
34003003300,2013,"Census Tract 33, Bergen County, New Jersey",6245.0,90338.0,345700.0,2288.0,449.0,0.0,1497.0,0.0,61.0,233.0,1717.0,,103.0,362.0,127.0,92.0,1267.0,201.0,244.0,0.0,1226.0,0.0,71.0,34,003,003300
34003003401,2013,"Census Tract 34.01, Bergen County, New Jersey",3079.0,111569.0,385500.0,1969.0,51.0,0.0,413.0,0.0,32.0,43.0,571.0,,30.0,177.0,5.0,215.0,450.0,36.0,77.0,0.0,606.0,51.0,31.0,34,003,003401
34003003402,2013,"Census Tract 34.02, Bergen County, New Jersey",3847.0,100544.0,373500.0,2184.0,37.0,0.0,764.0,0.0,10.0,110.0,742.0,,92.0,156.0,35.0,196.0,517.0,43.0,0.0,0.0,821.0,112.0,35.0,34,003,003402
34003003500,2013,"Census Tract 35, Bergen County, New Jersey",4187.0,44709.0,347900.0,1372.0,287.0,8.0,910.0,0.0,0.0,76.0,1542.0,,183.0,201.0,26.0,121.0,432.0,124.0,68.0,0.0,823.0,110.0,26.0,34,003,003500
34003004001,2013,"Census Tract 40.01, Bergen County, New Jersey",3271.0,84032.0,340000.0,1410.0,179.0,0.0,174.0,0.0,83.0,121.0,1304.0,,145.0,256.0,15.0,148.0,375.0,189.0,70.0,0.0,488.0,56.0,31.0,34,003,004001
34003004002,2013,"Census Tract 40.02, Bergen County, New Jersey",4960.0,75794.0,337000.0,2152.0,166.0,0.0,874.0,0.0,32.0,14.0,1722.0,,102.0,218.0,46.0,327.0,446.0,289.0,76.0,0.0,534.0,12.0,53.0,34,003,004002
34003005000,2013,"Census Tract 50, Bergen County, New Jersey",6155.0,64954.0,392900.0,4217.0,27.0,18.0,702.0,0.0,62.0,58.0,1071.0,,128.0,406.0,64.0,265.0,468.0,322.0,149.0,0.0,831.0,199.0,66.0,34,003,005000
34003006100,2013,"Census Tract 61, Bergen County, New Jersey",6455.0,62193.0,394300.0,3487.0,135.0,0.0,710.0,0.0,0.0,17.0,2106.0,,82.0,290.0,175.0,299.0,774.0,239.0,120.0,0.0,1171.0,198.0,48.0,34,003,006100
34003006201,2013,"Census Tract 62.01, Bergen County, New Jersey",4892.0,54818.0,473400.0,2795.0,43.0,0.0,638.0,0.0,7.0,32.0,1377.0,,123.0,257.0,43.0,238.0,487.0,99.0,35.0,17.0,716.0,39.0,7.0,34,003,006201
34003006202,2013,"Census Tract 62.02, Bergen County, New Jersey",4779.0,82371.0,385400.0,2893.0,310.0,0.0,844.0,48.0,0.0,144.0,540.0,,65.0,217.0,47.0,349.0,385.0,255.0,103.0,0.0,1267.0,109.0,47.0,34,003,006202
